trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.9, 'e': 0.57752704876195471}",20,0,-40.60001494166813,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.57235262515663332}",30,0,-67.1396079852774,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.56722456242688413}",20,3,-56.95866712182639,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.9, 'e': 0.56214244519682244}",30,0,-165.4215257302731,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.9, 'e': 0.55710586181217392}",25,0,-44.995020676651876,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.5521144043069306}",20,0,-58.50439465899771,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.5471676683703055}",25,0,-54.95041691465675,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.9, 'e': 0.54226525331398323}",25,11,-133.16463428910487,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 3}",1
69,False,"{'a': 0.9, 'e': 0.53740676203966364}",30,0,-29.37457682485475,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.53259180100689718}",20,0,-26.677583816590396,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.52781998020120768}",35,0,-72.55754321874619,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.52309091310250089}",25,0,-48.217609740198064,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.9, 'e': 0.51840421665375602}",20,0,-9.021546148256922,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.51375951122999841}",25,0,-2.3218133551203133,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.9, 'e': 0.50915642060754918}",25,0,-75.81348064026083,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.9, 'e': 0.50459457193355117}",25,0,-42.392181656513365,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.5000735956957677}",35,1,-57.35662038250762,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 1}",1
78,False,"{'a': 0.9, 'e': 0.49559312569265146}",20,8,12.00465801325914,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.49115279900368264}",20,9,-46.62276837219999,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.9, 'e': 0.48675225595997168}",25,11,0.84086420993786,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.4823911401151259}",20,0,-26.29395347465377,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.47806909821637761}",25,9,0.13536704732272253,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.47378578017596978}",20,10,-33.08509952639681,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.9, 'e': 0.46954083904279931}",35,0,-56.25446896638054,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
